Change,Overall Score,Computation time,,,
Initial model,1.44,2min 48s,,,
Increase num_generations to 500 ,4.68,42min,,,
Increase population_size to 2000 ,4.4,48min,,,
Increase num_generations to 1000,4.74,more than 3h,,,
,,,,,
only one curve: 2,,,,,
Initial advanced model 7 nodes ,0.58,37s,,,curve 2
just select better initial population,1.57,,,,curev 2
"Select 100 out of 1000 rendom mech, N=7, only GA","Overall Score': 1.6347696635949625,
 'Score Breakdown': {'Problem 1': 1.250177220171011,
  'Problem 2': 1.7373263068814992,
  'Problem 3': 2.6311398358807025,
  'Problem 4': 3.1564901848589315,
  'Problem 5': 0.4134787510643321,
  'Problem 6': 0.6200056827132983}}",,,,new baseline
"Select 100 out of 10000 rendom mech, N=7, only GA","{'Overall Score': 2.532823431569277,
 'Score Breakdown': {'Problem 1': 2.6861621237836175,
  'Problem 2': 2.4110520166391183,
  'Problem 3': 3.216521232899481,
  'Problem 4': 3.6157599150007798,
  'Problem 5': 1.8111319505980248,
  'Problem 6': 1.4563133504946393}}",,,,
"Select 100 out of 10000 rendom mech, N=8, only GA","{'Overall Score': 1.6851297214016772,
 'Score Breakdown': {'Problem 1': 1.7466537224865277,
  'Problem 2': 1.7488110930402456,
  'Problem 3': 1.8831259991963094,
  'Problem 4': 1.780618365426065,
  'Problem 5': 1.3021181894677483,
  'Problem 6': 1.6494509587931674}}",,,,
"Select 100 out of 10000 rendom mech, N=9, only GA","{'Overall Score': 0.7946548937769009,
 'Score Breakdown': {'Problem 1': 0.7306160050072776,
  'Problem 2': 0.0,
  'Problem 3': 1.3149740041839522,
  'Problem 4': 1.7430045133413046,
  'Problem 5': 0.531979601149942,
  'Problem 6': 0.44735523897892904}}",,,,
"Select 100 out of 10000 rendom mech, N=10, only GA",,,,,
"Select 1000 out of 10000 rendom mech, N=7, only GA",,,,,
"Select 100 out of 10000 rendom mech, N=7, only GA - 200 generations","{'Overall Score': 3.406098462584976,
 'Score Breakdown': {'Problem 1': 4.1114221867808,
  'Problem 2': 3.035817288289188,
  'Problem 3': 4.073084902247182,
  'Problem 4': 3.7593817400637732,
  'Problem 5': 2.7629300896952955,
  'Problem 6': 2.693954568433618}}",,,,
"Select 100 out of 10000 rendom mech, N=7, only GA - 1000 generations","{'Overall Score': 4.336544240761899,
 'Score Breakdown': {'Problem 1': 5.1178388430628665,
  'Problem 2': 3.5123877513810484,
  'Problem 3': 4.819156001117273,
  'Problem 4': 4.981368280207738,
  'Problem 5': 3.9507749677872823,
  'Problem 6': 3.6377396010151877}}",,,,
,,,,,
NEW,,,,,
"N= 7, init=1000, only GA gen = 1000","{'Overall Score': 4.394095668765544,
 'Score Breakdown': {'Problem 1': 5.673441988297489,
  'Problem 2': 3.7654605125208285,
  'Problem 3': 4.751384230020718,
  'Problem 4': 4.5026587800149525,
  'Problem 5': 4.139183360711982,
  'Problem 6': 3.5324451410272957}}",,,,
,"{'Overall Score': 4.399541839495757,
 'Score Breakdown': {'Problem 1': 5.684656999456108,
  'Problem 2': 3.7686027217115132,
  'Problem 3': 4.752539289523177,
  'Problem 4': 4.502693255992698,
  'Problem 5': 4.153947565435448,
  'Problem 6': 3.5348112048556004}}",,,,
and GD material 1000 steps,"{'Overall Score': 4.400726249000477,
 'Score Breakdown': {'Problem 1': 5.684656999456108,
  'Problem 2': 3.769240770211912,
  'Problem 3': 4.752539289523177,
  'Problem 4': 4.502719655828022,
  'Problem 5': 4.154075345076098,
  'Problem 6': 3.541125433907542}}",,,,
and run the same GA again ,"{'Overall Score': 4.452532421408944,
 'Score Breakdown': {'Problem 1': 5.794896345157058,
  'Problem 2': 3.8264304996255056,
  'Problem 3': 4.771387124589505,
  'Problem 4': 4.503285547588275,
  'Problem 5': 4.206062312543226,
  'Problem 6': 3.613132698950098}}",,,,
combined the best results form the ,,,,,
